##Futura
google.com, pub-9870906254578438, DIRECT, f08c47fec0942fa0
google.com, pub-4050932021375216, DIRECT, f08c47fec0942fa0


##teads
teads.tv, 10814, DIRECT, 15a9c44f6d26cbe1


##outbrain
outbrain.com, 00bd44d0de7aa1b8f7f2897b3c7196e861, DIRECT
freewheel.tv, 197873, RESELLER
freewheel.tv, 197889, RESELLER
freewheel.tv, 197897, RESELLER
freewheel.tv, 197913, RESELLER
freewheel.tv, 197929, RESELLER
freewheel.tv, 197961, RESELLER
freewheel.tv, 218730, RESELLER

#SSP FREEWHEEL DIGITEKA MX
freewheel.tv, 198353, RESELLER #CULTURE
freewheel.tv, 198369, RESELLER #LIFESTYLE
freewheel.tv, 198385, RESELLER #NEWS

#SSP FREEWHEEL MX OX
freewheel.tv, 199049, RESELLER

#APPNEXUS
appnexus.com, 10738, RESELLER

#SHOWHEROES
smartadserver.com, 2161, RESELLER
appnexus.com, 3703, RESELLER, f5ab79cb980f11d1
openx.com, 537149888, RESELLER, 6a698e2ec38604c6
indexexchange.com, 179394, RESELLER
contextweb.com, 560288, RESELLER, 89ff185a4c4e857c
pubmatic.com, 156439, RESELLER
pubmatic.com, 154037, RESELLER
rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807
sovrn.com, 257611, RESELLER, fafdf38b16bf6b2b
groundtruth.com, 107, RESELLER, 81cbf0a75a5e0e9a
districtm.io, 101760, RESELLER, 3fd707be9c4527c3
loopme.com, s-2411, RESELLER, 6c8d5f95897a5a3b
loopme.com, 5679, RESELLER, 6c8d5f95897a5a3b

#VERIZON
advertising.com, 7389, RESELLER, e1a5b5b6e3255540
indexexchange.com, 183965, RESELLER, 50b1c356f2c5c8fc
pubmatic.com, 156458, RESELLER, 5d62403b186f2ace
pubmatic.com, 156325, RESELLER, 5d62403b186f2ace
pubmatic.com, 156084, RESELLER, 5d62403b186f2ace
coxmt.com, 2000067995202, RESELLER
rubiconproject.com, 18222, RESELLER, 0bfd66d529a55807
advertising.com, 7389, DIRECT
advertising.com, 7389, RESELLER
telaria.com, ikcej-e7i6f, DIRECT, 1a4e959a1b50034a
tremorhub.com, ikcej-e7i6f, DIRECT, 1a4e959a1b50034a
smartadserver.com, 3439, DIRECT
rubiconproject.com, 21310, DIRECT, 0bfd66d529a55807
openx.com, 540834345, DIRECT, 6a698e2ec38604c6
spotx.tv, 253293, RESELLER, 7842df1d2fe2db34
spotxchange.com, 253293, RESELLER, 7842df1d2fe2db34
appnexus.com, 9684, DIRECT
improvedigital.com, 1240, RESELLER
pubmatic.com, 158753, DIRECT, 5d62403b186f2ace
rhythmone.com, 1685302116,DIRECT,a670c89d4a324e47
smartadserver.com, 3536, DIRECT
xad.com, 958, RESELLER, 81cbf0a75a5e0e9a
rhythmone.com, 2564526802, RESELLER, a670c89d4a324e47
smaato.com, 1100044045, RESELLER, 07bcf65f187117b4
pubnative.net, 1006576, RESELLER, d641df8625486a7b
adyoulike.com, b4bf4fdd9b0b915f746f6747ff432bde, RESELLER

#AMAZON
aps.amazon.com, 3906, DIRECT


#gravity
appnexus.com, 9124, DIRECT

#DIGITEKA/VUBLE
freewheel.tv, 1022497, RESELLER
mediabong.com, 1729, DIRECT
