taboola.com, 1082865, RESELLER, c228e6794e811952 # Sponsored content Brazil
spotx.tv, 71451, RESELLER # Taboola Sponsored content Brazil
spotxchange.com, 71451, RESELLER # Taboola Sponsored content Brazil
advertising.com, 8603, RESELLER # Taboola Sponsored content Brazil
advertising.com, 3531, RESELLER # Taboola Sponsored content Brazil
pubmatic.com, 156307, RESELLER, 5d62403b186f2ace # Taboola Sponsored content Brazil
appnexus.com, 3364, RESELLER # Taboola Sponsored content Brazil
Indexexchange.com, 183756, RESELLER # Taboola Sponsored content Brazil
contextweb.com, 560382, RESELLER # Taboola Sponsored content Brazil
openx.com, 539154393, RESELLER # Taboola Sponsored content Brazil
tremorhub.com, z87wm, RESELLER, 1a4e959a1b50034a # Taboola Sponsored content Brazil
rubiconproject.com, 16698, RESELLER, 0bfd66d529a55807 # Taboola Sponsored content Brazil
fyber.com, ad9de41d28d494354b23133f26f83122, RESELLER # Taboola Sponsored content Brazil
fyber.com, 1a12a7e3f84fe560ccf95a3a73043abb, RESELLER # Taboola Sponsored content Brazil
taboola.com, 1082864, DIRECT, c228e6794e811952 # Sponsored content Japan
taboola.com, 1082864, RESELLER, c228e6794e811952 # Sponsored content Japan
spotx.tv, 71451, RESELLER # Taboola Sponsored content Japan
spotxchange.com, 71451, RESELLER # Taboola Sponsored content Japan
advertising.com, 8603, RESELLER # Taboola Sponsored content Japan
advertising.com, 3531, RESELLER # Taboola Sponsored content Japan
pubmatic.com, 156307, RESELLER, 5d62403b186f2ace # Taboola Sponsored content Japan
appnexus.com, 3364, RESELLER # Taboola Sponsored content Japan
Indexexchange.com, 183756, RESELLER # Taboola Sponsored content Japan
contextweb.com, 560382, RESELLER # Taboola Sponsored content Japan
openx.com, 539154393, RESELLER # Taboola Sponsored content Japan
tremorhub.com, z87wm, RESELLER, 1a4e959a1b50034a # Taboola Sponsored content Japan
rubiconproject.com, 16698, RESELLER, 0bfd66d529a55807 # Taboola Sponsored content Japan
fyber.com, ad9de41d28d494354b23133f26f83122, RESELLER # Taboola Sponsored content Japan
fyber.com, 1a12a7e3f84fe560ccf95a3a73043abb, RESELLER # Taboola Sponsored content Japan
taboola.com, 1082863, DIRECT, c228e6794e811952 # Sponsored content Korea
taboola.com, 1082863, RESELLER, c228e6794e811952 # Sponsored content Korea
spotx.tv, 71451, RESELLER # Taboola Sponsored content Korea
spotxchange.com, 71451, RESELLER # Taboola Sponsored content Korea
advertising.com, 8603, RESELLER # Taboola Sponsored content Korea
advertising.com, 3531, RESELLER # Taboola Sponsored content Korea
pubmatic.com, 156307, RESELLER, 5d62403b186f2ace # Taboola Sponsored content Korea
appnexus.com, 3364, RESELLER # Taboola Sponsored content Korea
Indexexchange.com, 183756, RESELLER # Taboola Sponsored content Korea
contextweb.com, 560382, RESELLER # Taboola Sponsored content Korea
openx.com, 539154393, RESELLER # Taboola Sponsored content Korea
tremorhub.com, z87wm, RESELLER, 1a4e959a1b50034a # Taboola Sponsored content Korea
rubiconproject.com, 16698, RESELLER, 0bfd66d529a55807 # Taboola Sponsored content Korea
fyber.com, ad9de41d28d494354b23133f26f83122, RESELLER # Taboola Sponsored content Korea
fyber.com, 1a12a7e3f84fe560ccf95a3a73043abb, RESELLER # Taboola Sponsored content Korea
rhythmone.com, 630876328, RESELLER, a670c89d4a324e47 # Display
somoaudience.com, 18fa1332792e4c0b7ee825c05288f929, RESELLER # Display
mobileadtrading.com, 18fa1332792e4c0b7ee825c05288f929, RESELLER # Display
smartadserver.com, 886, RESELLER # CH, DE, AT
google.com, pub-3057818873023700, RESELLER # CH
appnexus.com, 3741, RESELLER # CH
appnexus.com, 3528, RESELLER # CH
appnexus.com, 1851, RESELLER # CH
appnexus.com, 9242, RESELLER# CH
freewheel.tv, 170809, RESELLER # BE
freewheel.tv, 175881, RESELLER # BE
google.com, pub-0928917523760106, RESELLER, f08c47fec0942fa0 # BE
appnexus.com, 2668, RESELLER, f5ab79cb980f11d1 # NL
improvedigital.com, 755, RESELLER # NL
google.com, pub-5879135606263005, RESELLER # NL
smartclip.net, 855, DIRECT # DE
smartclip.net, 855, RESELLER # DE
smartclip.net, 9098, DIRECT # ES
google.com, pub-8674340505315230, DIRECT, f08c47fec0942fa0 # ES
google.com, pub-7197632655386039, DIRECT, f08c47fec0942fa0 # ES
smartclip.net, 9098, RESELLER # ES
google.com, pub-8674340505315230, RESELLER, f08c47fec0942fa0 # ES
google.com, pub-7197632655386039, RESELLER, f08c47fec0942fa0 # ES
smartclip.net, 855,DIRECT # SE, DK, FI, NO
smartclip.net, 855, RESELLER # SE, DK, FI, NO
yieldlab.net, 72723, RESELLER # AT
yieldlab.net, 227224, RESELLER # AT
yieldlab.net, 506261, RESELLER # AT
admixer.net, 10248498-454d-49a4-a789-acb8fe837f59, DIRECT # UA
admixer.net, 10248498-454d-49a4-a789-acb8fe837f59, RESELLER # UA
google.com, pub-0627101520158699, DIRECT, f08c47fec0942fa0 # IT
google.com, pub-0627101520158699, RESELLER, f08c47fec0942fa0 # IT
freewheel.tv, 2493, DIRECT # IT
freewheel.tv, 2493, RESELLER # IT
freewheel.tv, 287842, RESELLER # IT
freewheel.tv, 595217, RESELLER # IT
freewheel.tv, 595281, RESELLER # IT
freewheel.tv, 595681, RESELLER # IT
freewheel.tv, 595713, RESELLER # IT
freewheel.tv, 287858, RESELLER # IT
freewheel.tv, 595233, RESELLER # IT
freewheel.tv, 595665, RESELLER # IT
freewheel.tv, 595697, RESELLER # IT
freewheel.tv, 595729, RESELLER # IT
freewheel.tv, 449249, RESELLER # IT
freewheel.tv, 449265, RESELLER # IT
freewheel.tv, 762193, RESELLER # IT
freewheel.tv, 762241, RESELLER # IT
Improvedigital.com, 410, RESELLER # IT
adform.com, 96, RESELLER # IT
rubiconproject.com, 11762, RESELLER, 0bfd66d529a55807 # IT
google.com, pub-9381882208654001, RESELLER # IT
google.com, pub-7774251886246218, RESELLER # IT
adtech.com, 4819, RESELLER # IT
4aolcloud.net, 4819, RESELLER # IT
advertising.com, 21984, RESELLER # IT
google.com, pub-4979986541055910, RESELLER, f08c47fec0942fa0 # IT
appnexus.com, 956, RESELLER, f5ab79cb980f11d1 # IT
rubiconproject.com, 13258, RESELLER, 0bfd66d529a55807 # IT
openx.com, 537128103, RESELLER # IT
adform.com, 1721, RESELLER # IT
pubmatic.com, 73785, RESELLER, 5d62403b186f2ace # IT
freewheel.tv, 201601, RESELLER # IT
adtech.com, 4812, RESELLER # IT
aolcloud.net, 4812, RESELLER # IT
smartadserver.com, 1827, RESELLER # IT
improvedigital.com, 335, RESELLER # IT
appnexus.com, 3538, RESELLER # IT
appnexus.com, 3539, RESELLER # IT
appnexus.com, 3540, RESELLER # IT
adform.com, 1226, RESELLER # IT
adform.com, 1943, RESELLER # IT
adform.com, 622, RESELLER # IT
adform.com, 2110, RESELLER # IT
adform.com, 2112, RESELLER # IT
appnexus.com, 1785, RESELLER, f5ab79cb980f11d1 # IT
appnexus.com, 3141, RESELLER, f5ab79cb980f11d1 # IT
indexexchange.com, 183965, RESELLER, 50b1c356f2c5c8fc # IT
Pubmatic.com, 156458, RESELLER, 5d62403b186f2ace # IT
Pubmatic.com, 156325, RESELLER, 5d62403b186f2ace # IT
Pubmatic.com, 156084, RESELLER, 5d62403b186f2ace # IT
coxmt.com, 2000067995202, RESELLER # IT
freewheel.tv, 758610, RESELLER # IT
freewheel.tv, 758642, RESELLER # IT
freewheel.tv, 758626, RESELLER # IT
freewheel.tv, 758658, RESELLER # IT
onetag.com, 3895f66b2a, RESELLER # IT
coxmt.com, 2000067995202, RESELLER # IT
spotxchange.com, 223430, RESELLER, 7842df1d2fe2db34 # IT
spotx.tv, 223430, RESELLER, 7842df1d2fe2db34 # IT
freewheel.tv, 764641, RESELLER # IT
freewheel.tv, 764673, RESELLER # IT
freewheel.tv, 764705, RESELLER # IT
freewheel.tv, 764657, RESELLER # IT
freewheel.tv, 764689, RESELLER # IT
freewheel.tv, 764737, RESELLER # IT
freewheel.tv, 772305, RESELLER # IT
freewheel.tv, 772321, RESELLER # IT
freewheel.tv, 780353, RESELLER # IT
freewheel.tv, 780369, RESELLER # IT
freewheel.tv, 782017, RESELLER # IT
freewheel.tv, 782033, RESELLER # IT
freewheel.tv, 9904, RESELLER # IT
freewheel.tv, 720210, RESELLER # IT
freewheel.tv, 720242, RESELLER # IT
freewheel.tv, 784481, RESELLER # IT
freewheel.tv, 784497, RESELLER # IT
pubmatic.com, 156777, RESELLER, 5d62403b186f2ace # IT
smartadserver.com, 1510, DIRECT # PT
smartadserver.com, 1510, RESELLER # PT
google.com, pub-4939634212290203, DIRECT, f08c47fec0942fa0 # PT
google.com, pub-4939634212290203, RESELLER, f08c47fec0942fa0 # PT
indexexchange.com, 179394, DIRECT # PT
indexexchange.com, 179394, RESELLER # PT
contextweb.com, 560288, DIRECT, 89ff185a4c4e857c # PT
contextweb.com, 560288, RESELLER, 89ff185a4c4e857c # PT
pubmatic.com, 156439, DIRECT # PT
pubmatic.com, 156439, RESELLER # PT
pubmatic.com, 154037, DIRECT # PT
pubmatic.com, 154037, RESELLER # PT
rubiconproject.com, 16114, DIRECT, 0bfd66d529a55807 # PT
rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807 # PT
openx.com, 537149888, DIRECT, 6a698e2ec38604c6 # PT
openx.com, 537149888, RESELLER, 6a698e2ec38604c6 # PT
sovrn.com, 257611, DIRECT, fafdf38b16bf6b2b # PT
sovrn.com, 257611, RESELLER, fafdf38b16bf6b2b # PT
appnexus.com, 3703, DIRECT, f5ab79cb980f11d1 # PT
appnexus.com, 3703, RESELLER, f5ab79cb980f11d1 # PT
appnexus.com, 2964, RESELLER # PT
appnexus.com, 7167, RESELLER # PT
teads.tv, 13696, DIRECT, 15a9c44f6d26cbe1 # PT
teads.tv, 13696, RESELLER, 15a9c44f6d26cbe1 # PT
adform.com, 1743, RESELLER # TR
spotxchange.com, 223229, RESELLER, 7842df1d2fe2db34 # TR
spotx.tv, 223229, RESELLER, 7842df1d2fe2db34 # TR
google.com, pub-2577219840435371, RESELLER, f08c47fec0942fa0 #MENA
rubiconproject.com, 14138, RESELLER, 0bfd66d529a55807 #MENA
google.com, pub-1386280613967939, DIRECT, f08c47fec0942fa0 # GB, IE
google.com, pub-1386280613967939, RESELLER, f08c47fec0942fa0 # GB, IE
advertising.com, 8791, DIRECT # GB, IE
advertising.com, 8791, RESELLER # GB, IE
tidaltv.com, 25596, DIRECT # GB, IE
tidaltv.com, 25596, RESELLER # GB, IE
tidaltv.com, 9008, DIRECT # GB, IE
tidaltv.com, 9008, RESELLER # GB, IE
tidaltv.com, 9141, DIRECT # GB, IE
tidaltv.com, 9141, RESELLER # GB, IE
tidaltv.com, 6440, DIRECT # GB, IE
tidaltv.com, 6440, RESELLER # GB, IE
rubiconproject.com, 16746, DIRECT, 0bfd66d529a55807 # GB, IE
rubiconproject.com, 16746, RESELLER, 0bfd66d529a55807 # GB, IE
spotxchange.com, 95719, DIRECT, 7842df1d2fe2db34 # GB, IE
spotxchange.com, 95719, RESELLER, 7842df1d2fe2db34 # GB, IE
spotx.tv, 95719, DIRECT, 7842df1d2fe2db34 # GB, IE
spotx.tv, 95719, RESELLER, 7842df1d2fe2db34 # GB, IE
freewheel.tv, 776577, RESELLER # GB, IE
freewheel.tv, 776593, RESELLER # GB, IE
freewheel.tv, 856593, DIRECT # GB, IE
freewheel.tv, 856609, RESELLER # GB, IE
freewheel.tv, 856625, DIRECT # GB, IE
freewheel.tv, 856641, RESELLER # GB, IE
freewheel.tv, 856657, DIRECT # GB, IE
freewheel.tv, 856673, RESELLER # GB, IE
appnexus.com, 994, DIRECT, f5ab79cb980f11d1 # NL
rubiconproject.com, 11394, DIRECT, 0bfd66d529a55807 # NL
pubmatic.com, 156487, DIRECT, 5d62403b186f2ace # NL
adform.com, 648, DIRECT # NL
freewheel.tv, 18373, RESELLER # NL
freewheel.tv, 17821, RESELLER # NL
improvedigital.com, 985, DIRECT # NL
appnexus.com, 1504, RESELLER # CH
lkqd.net, 307, RESELLER, 59c49fa9598a0117 # UA, RS, AL, BA,MK, ME, SK, LT, MT, MD, BY, EE, HR, SI, LV, PL, RU, BG, RO, HU, CZ, SI
google.com, pub-5512390705137507, RESELLER, f08c47fec0942fa0 # UA, RS, AL, BA,MK, ME, SK, LT, MT, MD, BY, EE, HR, SI, LV, PL, RU, BG, RO, HU, CZ, SI
smartadserver.com, 2079, RESELLER # UA, RS, AL, BA,MK, ME, SK, LT, MT, MD, BY, EE, HR, SI, LV, PL, RU, BG, RO, HU, CZ, SI
google.com, pub-1937576406332709, DIRECT, f08c47fec0942fa0 # UA, RS, AL, BA,MK, ME, SK, LT, MT, MD, BY, EE, HR, SI, LV, PL, RU, BG, RO, HU, CZ, SI
google.com, pub-1937576406332709, RESELLER, f08c47fec0942fa0 # UA, RS, AL, BA,MK, ME, SK, LT, MT, MD, BY, EE, HR, SI, LV, PL, RU, BG, RO, HU, CZ, SI
google.com, pub-8856559311549217, RESELLER, f08c47fec0942fa0 # UA, RS, AL, BA,MK, ME, SK, LT, MT, MD, BY, EE, HR, SI, LV, PL, RU, BG, RO, HU, CZ, SI
freewheel.tv, 13841, DIRECT # IT
freewheel.tv, 642114, DIRECT # IT
freewheel.tv, 13841, RESELLER # IT
freewheel.tv, 642114, RESELLER # IT
smartadserver.com, 3161, RESELLER # CA
google.com, pub-9058291854443881, RESELLER # Asia
appnexus.com, 3691, RESELLER # Asia
smartadserver.com, 2060, RESELLER # Asia
rubiconproject.com, 17692, RESELLER, 0bfd66d529a55807 # Asia
spotxchange.com, 218870, RESELLER, 7842df1d2fe2db34 # Asia
spotx.tv, 218870, RESELLER, 7842df1d2fe2db34 # Asia
pubmatic.com, 156792, RESELLER, 5d62403b186f2ace # Asia
ad-stir.com, 8943, RESELLER # Asia
advertising.com, 26947, RESELLER # Asia
ads.adasiaholdings.com, 1, RESELLER # Asia
openx.com, 540291874, RESELLER, 6a698e2ec38604c6 # Asia
openx.com, 540308356, RESELLER, 6a698e2ec38604c6 # Asia
Pubmatic.com, 39374, RESELLER, 5d62403b186f2ace
Pubmatic.com, 156819, RESELLER, 5d62403b186f2ace
Pubmatic.com, 156820, RESELLER, 5d62403b186f2ace
Advertising.com, 19011, RESELLER
lkqd.net, 51, RESELLER, 59c49fa9598a0117
lkqd.com, 51, RESELLER, 59c49fa9598a0117
freewheel.tv, 295681, RESELLER
freewheel.tv, 299345, RESELLER
Improvedigital.com, 1154, RESELLER
nsightvideo.com, 6, DIRECT
nsightvideo.com, 7, DIRECT
nsightvideo.com, 8, DIRECT
nsightvideo.com, 9, DIRECT
nsightvideo.com, 10, DIRECT
nsightvideo.com, 11, DIRECT
nsightvideo.com, 12, DIRECT
nsightvideo.com, 13, DIRECT
nsightvideo.com, 14, DIRECT
nsightvideo.com, 15, DIRECT
nsightvideo.com, 16, DIRECT
nsightvideo.com, 17, DIRECT
