#Exchange,Seller Account ID,Type of Account (Direct or Reseller),TAG
ID (optional)
#GOOGLE ADX
google.com, pub-3230759608956247, RESELLER, f08c47fec0942fa0
google.com, pub-2679103605715789, RESELLER, f08c47fec0942fa0
google.com, pub-2846699686180177, RESELLER, f08c47fec0942fa0
google.com, pub-6209086188495781, RESELLER, f08c47fec0942fa0
google.com, pub-5628310764637319, RESELLER, f08c47fec0942fa0
google.com, pub-5480205708168063, RESELLER, f08c47fec0942fa0
google.com, pub-9914992914910847, RESELLER, f08c47fec0942fa0
google.com, pub-2557900687859377, RESELLER, f08c47fec0942fa0
google.com, pub-2468262778002506, RESELLER, f08c47fec0942fa0
google.com, pub-0978064532142215, RESELLER, f08c47fec0942fa0
google.com, pub-3844877863303739, RESELLER, f08c47fec0942fa0
google.com, pub-1869172611345701, RESELLER, f08c47fec0942fa0
google.com, pub-7363566645038776, RESELLER, f08c47fec0942fa0
google.com, pub-3519627678776838, RESELLER, f08c47fec0942fa0
lkqd.net, 454, RESELLER, 59c49fa9598a0117
openx.com, 540367819, RESELLER, 6a698e2ec38604c6
Spotx.tv, 111853, RESELLER
Spotxchange.com, 111853, RESELLER
springserve.com, 1, RESELLER, a24eb641fc82e93d
vhbx.co, vhbx-8718256505923256, RESELLER, 47e78270c9860438

vindicosuite.com, 6624, RESELLER
nativo.com, 5041, DIRECT, 59521ca7cc5e9fee
nativo.com,1086,DIRECT,59521ca7cc5e9fee

#Triplelift
triplelift.com, 7204, DIRECT, 6c33edb13117fd86
triplelift.com, 7204-EB, DIRECT, 6c33edb13117fd86
#YieldMo
yieldmo.com,2277508038371779290, DIRECT

#RUBICON
rubiconproject.com,10047, DIRECT, 0bfd66d529a55807
#RUBICON EXCHANGE BIDDING
rubiconproject.com,21544, DIRECT, 0bfd66d529a55807
#OATH VERIZON
adtech.com,9408,DIRECT
pubmatic.com,156078,RESELLER

#SHARETHROUGH
sharethrough.com, a78c0f0e, DIRECT, d53b998a7bd4ecd2
indexexchange.com, 186046, RESELLER
spotxchange.com, 212457, RESELLER
spotx.tv, 212457, RESELLER
pubmatic.com, 156557, RESELLER
rubiconproject.com, 18694, RESELLER, 0bfd66d529a55807
openx.com, 540274407, RESELLER, 6a698e2ec38604c6

#CONSUMABLE
adtech.com, 10947, DIRECT
aolcloud.net, 10947, DIRECT
appnexus.com, 1356, DIRECT
appnexus.com, 7556, DIRECT
emxdgt.com, 20, DIRECT, 1e1d41537f7cad7f
google.com, pub-6694481294649483, DIRECT
indexexchange.com, 184914, DIRECT
indexexchange.com, 186248, DIRECT, 50b1c356f2c5c8fc
openx.com, 537150004, DIRECT
pubmatic.com, 156319, DIRECT
sonobi.com, e55fb5d7c2, DIRECT, d1a215d9eb5aee9e
sovrn.com, 248396, DIRECT, fafdf38b16bf6b2b
rubiconproject.com, 17632, DIRECT, 0bfd66d529a55807
openx.com, 539699341, DIRECT, 6a698e2ec38604c6
rubiconproject.com, 18890, DIRECT, 0bfd66d529a55807
pubmatic.com, 157367, DIRECT
indexexchange.com, 187454, DIRECT
sonobi.com, 6e5cfb5420, DIRECT, d1a215d9eb5aee9e
consumable.com, 2000969, DIRECT
#Legacy.com
subdomain=obits.newsherald.com

subdomain=obits.thetimesnews.com
subdomain=obits.nwfdailynews.com
subdomain=obits.chipleypaper.com
subdomain=obits.crestviewbulletin.com
subdomain=obits.apalachtimes.com
subdomain=obituaries.galesburg.com
subdomain=obituaries.mpnnow.com
subdomain=obits.newschief.com
#Puzzles Palace, Kings Features
google.com, pub-1995032544933848, DIRECT, f08c47fec0942fa0
subdomain=games.adelnews.com
subdomain=games.advocatepress.com
subdomain=games.agjournalonline.com
subdomain=games.aledotimesrecord.com
subdomain=games.alicetx.com
subdomain=games.amestrib.com
subdomain=games.amtrib.com
subdomain=games.apalachtimes.com
subdomain=games.ardmoreite.com
subdomain=games.arkansasnews.com
subdomain=games.auroraadvertiser.net
subdomain=games.bastropenterprise.com
subdomain=games.bcdemocratonline.com
subdomain=games.beauregarddailynews.net
subdomain=games.bedfordnow.com
subdomain=games.blueridgenow.com
subdomain=games.boonevilledemocrat.com
subdomain=games.boonvilledailynews.com
subdomain=games.brightonpittsfordpost.com
subdomain=games.brownwoodtx.com
subdomain=games.butlercountytimesgazette.com
subdomain=games.cambridgechron.com
subdomain=games.cantondailyledger.com
subdomain=games.cantonrep.com
subdomain=games.carmitimes.com
subdomain=games.carthagepress.com
subdomain=games.charlestonexpress.com
subdomain=games.cheboygannews.com
subdomain=games.chillicothenews.com
subdomain=games.chillicothetimesbulletin.com
subdomain=games.chipleypaper.com
subdomain=games.chronicle-express.com
subdomain=games.columbiadailyherald.com
subdomain=games.columbiatribune.com
subdomain=games.columbusalive.com
subdomain=games.columbusceo.com
subdomain=games.columbusmonthly.com
subdomain=games.columbusparent.com
subdomain=games.courier-tribune.com
subdomain=games.crestviewbulletin.com
subdomain=games.crookstontimes.com
subdomain=games.dailycomet.com
subdomain=games.dailycommercial.com
subdomain=games.dansvilleonline.com
subdomain=games.devilslakejournal.com
subdomain=games.dispatch.com

subdomain=games.dodgeglobe.com
subdomain=games.donaldsonvillechief.com
subdomain=games.doverpost.com
subdomain=games.eastpeoriatimescourier.com
subdomain=games.echo-pilot.com
subdomain=games.edinburgreview.com
subdomain=games.enterprisenews.com
subdomain=games.eveningtribune.com
subdomain=games.examiner-enterprise.com
subdomain=games.examiner.net
subdomain=games.fairport-erpost.com
subdomain=games.fosters.com
subdomain=games.fowlertribune.com
subdomain=games.gadsdentimes.com
subdomain=games.gainesville.com
subdomain=games.galesburg.com
subdomain=games.galvanews.com
subdomain=games.gastongazette.com
subdomain=games.gateschilipost.com
subdomain=games.geneseorepublic.com
subdomain=games.goerie.com
subdomain=games.goupstate.com
subdomain=games.grandlakenews.com
subdomain=games.granitefallsnews.com
subdomain=games.greecepost.com
subdomain=games.greenwooddemocrat.com
subdomain=games.gridleyherald.com
subdomain=games.grimestoday.com
subdomain=games.hamburgreporter.com
subdomain=games.hannibal.net
subdomain=games.havenews.com
subdomain=games.helena-arkansas.com
subdomain=games.henriettapost.com
subdomain=games.heralddemocrat.com
subdomain=games.heraldnews.com
subdomain=games.heraldtribune.com
subdomain=games.hillsdale.net
subdomain=games.hockessincommunitynews.com
subdomain=games.hollandsentinel.com
subdomain=games.hopestar.com
